artobject_id,db_title,youtube_title,old_video_id,old_url,new_video_id,new_url,new_title,action
1359,057c / Fucking Good KAMCHATKA  - Ballett für 2 Fischdiebe,fucking good KAMCHATKA – Ballett für Zwei Fischdiebe (Deutsche Edition),rxHoEF73O5k,https://www.youtube.com/watch?v=rxHoEF73O5k,6qgf1ve82bk,https://www.youtube.com/watch?v=6qgf1ve82bk,fucking good KAMCHATKA – Ballett für Zwei Fischdiebe (Deutsche Edition) (Enhanced 4K),REPLACE
1585,065 / 35 Million Dollars in a Suitcase – Gaza in Pain,GAZA / 35 Million Dollars in a Suitcase – Gaza in Pain,lA-HJkXDE2A,https://www.youtube.com/watch?v=lA-HJkXDE2A,PKNfogo5kyE,https://www.youtube.com/watch?v=PKNfogo5kyE,GAZA / 35 Million Dollars in a Suitcase – Gaza in Pain (Enhanced 4K),REPLACE
1586,064 / S(t)inging Beauty,064 / S(T)INGING BEAUTY / Kamchatka - Russian/Esub,o_nM2N-03UI,https://www.youtube.com/watch?v=o_nM2N-03UI,jqcb-hnYha8,https://www.youtube.com/watch?v=jqcb-hnYha8,064 / S(T)INGING BEAUTY / Kamchatka - Russian/Esub (Enhanced 4K),REPLACE
1593,066 / The Beatles in Georgia,066 / The BEATLES in GEORGIA - Georgian/Esub,3teIj0Rttzg,https://www.youtube.com/watch?v=3teIj0Rttzg,EE-hwKUwHeE,https://www.youtube.com/watch?v=EE-hwKUwHeE,066 / The BEATLES in GEORGIA - Georgian/Esub (Enhanced 4K),REPLACE
1594,006 / MTV2 – Window on Europe – Európa Ablak,006 MTV2 Window on Europe -- Európa Ablak,rX4ADnOa3G4,https://www.youtube.com/watch?v=rX4ADnOa3G4,MVi0fWh_g5Y,https://www.youtube.com/watch?v=MVi0fWh_g5Y,006 MTV2 Window on Europe -- Európa Ablak (Enhanced 4K),REPLACE
1595,061c TOLBACHIK 1975–2005,KAMCHATKA / TOLBACHIK 1975-2005,6hUUJNMZKDw,https://www.youtube.com/watch?v=6hUUJNMZKDw,pzMKDArsh5s,https://www.youtube.com/watch?v=pzMKDArsh5s,KAMCHATKA / TOLBACHIK 1975-2005 (Enhanced 4K),REPLACE
1596,046b / EGYENSÚLYBAN – BABUSHKA MASHA,046b EGYENSULYBAN / Babushka Masha - H,x6S8pAmrv94,https://www.youtube.com/watch?v=x6S8pAmrv94,Qykz0y0Wfb0,https://www.youtube.com/watch?v=Qykz0y0Wfb0,046b EGYENSULYBAN / Babushka Masha - H (Enhanced 4K),REPLACE
1638,068 / SEX on the STEPS – Yellow Mountains,068 / SEX on the STEPS - Yellow Mountains,cgHVbxV64VU,https://www.youtube.com/watch?v=cgHVbxV64VU,sE0QFAuf190,https://www.youtube.com/watch?v=sE0QFAuf190,068 / SEX on the STEPS - Yellow Mountains (Enhanced 4K),REPLACE
1639,057b / Fucking Good KAMCHATKA  - kurva jó,fucking good KAMCHATKA – kurva jó (Hungarian Edition),XtzTRGmGWuM,https://www.youtube.com/watch?v=XtzTRGmGWuM,-rNd-pElc6s,https://www.youtube.com/watch?v=-rNd-pElc6s,fucking good KAMCHATKA – kurva jó (Hungarian Edition) (Enhanced 4K),REPLACE
1640,069 / TeaTime in TBILISI,Republic of GEORGIA / TeaTime in TBILISI,509HaQXlkL0,https://www.youtube.com/watch?v=509HaQXlkL0,tLK5WQb0weQ,https://www.youtube.com/watch?v=tLK5WQb0weQ,Republic of GEORGIA / TeaTime in TBILISI (Enhanced 4K),REPLACE
1641,070 a / KMARA – ENOUGH! / THE ROSE REVOLUTION,Republic of GEORGIA / KMARA -- ENOUGH! / THE ROSE REVOLUTION,KMclVtn2aoc,https://www.youtube.com/watch?v=KMclVtn2aoc,FqqybYPUBgY,https://www.youtube.com/watch?v=FqqybYPUBgY,Republic of GEORGIA / KMARA -- ENOUGH! / THE ROSE REVOLUTION (Enhanced 4K),REPLACE
1704,078 / The FURNITURE of AFGHANISTAN,078 / The FURNITURE in AFGHANISTAN - Afghan/Russian/English,0LdSpIR6x2I,https://www.youtube.com/watch?v=0LdSpIR6x2I,,,,NO 4K FOUND
1642,"071 / drunk, God...","Republic of GEORGIA / drunk, GOD...",w2zIO_8S3Ek,https://www.youtube.com/watch?v=w2zIO_8S3Ek,PUuRv4DQHzE,https://www.youtube.com/watch?v=PUuRv4DQHzE,"Republic of GEORGIA / drunk, GOD... (Enhanced 4K)",REPLACE
1643,007b / MTV2 – BUDAPESTI napló,007b BUDAPESTEN NAPLO - H,SHFqywMgx1Q,https://www.youtube.com/watch?v=SHFqywMgx1Q,-zT1av8QGGo,https://www.youtube.com/watch?v=-zT1av8QGGo,007b BUDAPESTEN NAPLO - H (Enhanced 4K),REPLACE
1644,"072 a / IRAN, chador condom coffeeshop – daily life & politics",072a / Iran / CHADOR CONDOM COFFEESHOP - Farsi/Esub,N_Ui88q-gy8,https://www.youtube.com/watch?v=N_Ui88q-gy8,tHoHrj45oCE,https://www.youtube.com/watch?v=tHoHrj45oCE,072a / Iran / CHADOR CONDOM COFFEESHOP - Farsi/Esub (Enhanced 4K),REPLACE
1705,079a / IRAN / HANDSHAKE! – sometimes kisses,079a Iran / HANDSHAKE -- sometimes KISSES - Farsi/Esub,n4Vn38iOsw0,https://www.youtube.com/watch?v=n4Vn38iOsw0,H7otaCwYGfY,https://www.youtube.com/watch?v=H7otaCwYGfY,079a Iran / HANDSHAKE -- sometimes KISSES - Farsi/Esub (Enhanced 4K),REPLACE
